x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3,x_k-4,x_dot_k-4,theta_k-4,theta_dot_k-4,u_k-4,x_k-5,x_dot_k-5,theta_k-5,theta_dot_k-5,u_k-5
3.0097,-5.2156,-0.48655,-0.14834,3.0619,-4.9088,-0.48506,-0.20539,0.2,3.111,-4.9088,-0.48301,-0.25674,0.2,-3.1231,-4.602,-0.48044,-0.31379,0.2,-3.0771,-4.4486,-0.47731,-0.36514,0.2,-3.0326,-4.2952,-0.47365,-0.42219,0.2
2.9576,-5.2156,-0.48763,-0.1084,3.0097,-5.2156,-0.48655,-0.14834,0.2,3.0619,-4.9088,-0.48506,-0.20539,0.2,3.111,-4.9088,-0.48301,-0.25674,0.2,-3.1231,-4.602,-0.48044,-0.31379,0.2,-3.0771,-4.4486,-0.47731,-0.36514,0.2
2.9039,-5.369,-0.48815,-0.051348,2.9576,-5.2156,-0.48763,-0.1084,0.2,3.0097,-5.2156,-0.48655,-0.14834,0.2,3.0619,-4.9088,-0.48506,-0.20539,0.2,3.111,-4.9088,-0.48301,-0.25674,0.2,-3.1231,-4.602,-0.48044,-0.31379,0.2
2.8502,-5.369,-0.48826,-0.011411,2.9039,-5.369,-0.48815,-0.051348,0.2,2.9576,-5.2156,-0.48763,-0.1084,0.2,3.0097,-5.2156,-0.48655,-0.14834,0.2,3.0619,-4.9088,-0.48506,-0.20539,0.2,3.111,-4.9088,-0.48301,-0.25674,0.2
2.7949,-5.5224,-0.48792,0.034232,2.8502,-5.369,-0.48826,-0.011411,0.2,2.9039,-5.369,-0.48815,-0.051348,0.2,2.9576,-5.2156,-0.48763,-0.1084,0.2,3.0097,-5.2156,-0.48655,-0.14834,0.2,3.0619,-4.9088,-0.48506,-0.20539,0.2
2.7413,-5.369,-0.48723,0.068464,2.7949,-5.5224,-0.48792,0.034232,0.2,2.8502,-5.369,-0.48826,-0.011411,0.2,2.9039,-5.369,-0.48815,-0.051348,0.2,2.9576,-5.2156,-0.48763,-0.1084,0.2,3.0097,-5.2156,-0.48655,-0.14834,0.2
2.6876,-5.369,-0.48626,0.09699,2.7413,-5.369,-0.48723,0.068464,0.2,2.7949,-5.5224,-0.48792,0.034232,0.2,2.8502,-5.369,-0.48826,-0.011411,0.2,2.9039,-5.369,-0.48815,-0.051348,0.2,2.9576,-5.2156,-0.48763,-0.1084,0.2
2.6339,-5.369,-0.48506,0.11981,2.6876,-5.369,-0.48626,0.09699,0.2,2.7413,-5.369,-0.48723,0.068464,0.2,2.7949,-5.5224,-0.48792,0.034232,0.2,2.8502,-5.369,-0.48826,-0.011411,0.2,2.9039,-5.369,-0.48815,-0.051348,0.2
2.5817,-5.2156,-0.48358,0.14834,2.6339,-5.369,-0.48506,0.11981,0.2,2.6876,-5.369,-0.48626,0.09699,0.2,2.7413,-5.369,-0.48723,0.068464,0.2,2.7949,-5.5224,-0.48792,0.034232,0.2,2.8502,-5.369,-0.48826,-0.011411,0.2
2.5296,-5.2156,-0.48187,0.17116,2.5817,-5.2156,-0.48358,0.14834,0.2,2.6339,-5.369,-0.48506,0.11981,0.2,2.6876,-5.369,-0.48626,0.09699,0.2,2.7413,-5.369,-0.48723,0.068464,0.2,2.7949,-5.5224,-0.48792,0.034232,0.2
2.4805,-4.9088,-0.47999,0.18827,2.5296,-5.2156,-0.48187,0.17116,0.2,2.5817,-5.2156,-0.48358,0.14834,0.2,2.6339,-5.369,-0.48506,0.11981,0.2,2.6876,-5.369,-0.48626,0.09699,0.2,2.7413,-5.369,-0.48723,0.068464,0.2
2.4314,-4.9088,-0.47788,0.2111,2.4805,-4.9088,-0.47999,0.18827,0.2,2.5296,-5.2156,-0.48187,0.17116,0.2,2.5817,-5.2156,-0.48358,0.14834,0.2,2.6339,-5.369,-0.48506,0.11981,0.2,2.6876,-5.369,-0.48626,0.09699,0.2
