x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3
-2.6016,9.3572828,-0.5711,-0.21414,-2.6952,10.431069,-0.56896,-0.27957,-1,-2.7995,9.9708751,-0.56617,-0.33311,-1,-2.8992,9.817477,-0.56283,-0.3807,-1
-2.5035,9.817477,-0.57295,-0.1844,-2.6016,9.3572828,-0.5711,-0.21414,-1,-2.6952,10.431069,-0.56896,-0.27957,-1,-2.7995,9.9708751,-0.56617,-0.33311,-1
-2.4053,9.817477,-0.57437,-0.14276,-2.5035,9.817477,-0.57295,-0.1844,-1,-2.6016,9.3572828,-0.5711,-0.21414,-1,-2.6952,10.431069,-0.56896,-0.27957,-1
-2.3025,10.277671,-0.57545,-0.10707,-2.4053,9.817477,-0.57437,-0.14276,-1,-2.5035,9.817477,-0.57295,-0.1844,-1,-2.6016,9.3572828,-0.5711,-0.21414,-1
-2.2135,8.8970886,-0.57598,-0.053536,-2.3025,10.277671,-0.57545,-0.10707,-1,-2.4053,9.817477,-0.57437,-0.14276,-1,-2.5035,9.817477,-0.57295,-0.1844,-1
-2.12,9.3572828,-0.57622,-0.023794,-2.2135,8.8970886,-0.57598,-0.053536,-1,-2.3025,10.277671,-0.57545,-0.10707,-1,-2.4053,9.817477,-0.57437,-0.14276,-1
-2.0279,9.2038847,-0.5761,0.011897,-2.12,9.3572828,-0.57622,-0.023794,-1,-2.2135,8.8970886,-0.57598,-0.053536,-1,-2.3025,10.277671,-0.57545,-0.10707,-1
-1.9328,9.5106809,-0.57568,0.041639,-2.0279,9.2038847,-0.5761,0.011897,-1,-2.12,9.3572828,-0.57622,-0.023794,-1,-2.2135,8.8970886,-0.57598,-0.053536,-1
-1.8515,8.1300982,-0.57509,0.059484,-1.9328,9.5106809,-0.57568,0.041639,-1,-2.0279,9.2038847,-0.5761,0.011897,-1,-2.12,9.3572828,-0.57622,-0.023794,-1
-1.7656,8.5902924,-0.57432,0.077329,-1.8515,8.1300982,-0.57509,0.059484,-1,-1.9328,9.5106809,-0.57568,0.041639,-1,-2.0279,9.2038847,-0.5761,0.011897,-1
-1.6843,8.1300982,-0.57324,0.10707,-1.7656,8.5902924,-0.57432,0.077329,-1,-1.8515,8.1300982,-0.57509,0.059484,-1,-1.9328,9.5106809,-0.57568,0.041639,-1
-1.6045,7.9767001,-0.57194,0.13086,-1.6843,8.1300982,-0.57324,0.10707,-1,-1.7656,8.5902924,-0.57432,0.077329,-1,-1.8515,8.1300982,-0.57509,0.059484,-1
-1.5278,7.6699039,-0.57045,0.14871,-1.6045,7.9767001,-0.57194,0.13086,-1,-1.6843,8.1300982,-0.57324,0.10707,-1,-1.7656,8.5902924,-0.57432,0.077329,-1
-1.4527,7.5165059,-0.56866,0.17845,-1.5278,7.6699039,-0.57045,0.14871,-1,-1.6045,7.9767001,-0.57194,0.13086,-1,-1.6843,8.1300982,-0.57324,0.10707,-1
-1.3837,6.9029135,-0.56676,0.19035,-1.4527,7.5165059,-0.56866,0.17845,-1,-1.5278,7.6699039,-0.57045,0.14871,-1,-1.6045,7.9767001,-0.57194,0.13086,-1
-1.31,7.3631078,-0.56444,0.23199,-1.3837,6.9029135,-0.56676,0.19035,-1,-1.4527,7.5165059,-0.56866,0.17845,-1,-1.5278,7.6699039,-0.57045,0.14871,-1
-1.2502,5.9825251,-0.56212,0.23199,-1.31,7.3631078,-0.56444,0.23199,-1,-1.3837,6.9029135,-0.56676,0.19035,-1,-1.4527,7.5165059,-0.56866,0.17845,-1
-1.1842,6.5961174,-0.55933,0.27957,-1.2502,5.9825251,-0.56212,0.23199,-1,-1.31,7.3631078,-0.56444,0.23199,-1,-1.3837,6.9029135,-0.56676,0.19035,-1
