x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3,x_k-4,x_dot_k-4,theta_k-4,theta_dot_k-4,u_k-4,x_k-5,x_dot_k-5,theta_k-5,theta_dot_k-5,u_k-5
-2.9913,-1.84078,-0.45434,0.874415,-2.9729,-1.68738,-0.46308,0.945796,0.26,-2.956,-1.38058,-0.47254,1.04097,0.26,-2.9422,-1.22718,-0.48295,1.06476,0.26,-2.9299,-1.22718,-0.4936,1.04692,0.26,-2.9176,-1.22718,-0.50406,1.05882,-0.82
-3.0127,-2.14757,-0.44619,0.814931,-2.9913,-1.84078,-0.45434,0.874415,0.26,-2.9729,-1.68738,-0.46308,0.945796,0.26,-2.956,-1.38058,-0.47254,1.04097,0.26,-2.9422,-1.22718,-0.48295,1.06476,0.26,-2.9299,-1.22718,-0.4936,1.04692,0.26
-3.0357,-2.30097,-0.43887,0.731653,-3.0127,-2.14757,-0.44619,0.814931,0.26,-2.9913,-1.84078,-0.45434,0.874415,0.26,-2.9729,-1.68738,-0.46308,0.945796,0.26,-2.956,-1.38058,-0.47254,1.04097,0.26,-2.9422,-1.22718,-0.48295,1.06476,0.26
-3.0618,-2.60777,-0.43203,0.684066,-3.0357,-2.30097,-0.43887,0.731653,0.26,-3.0127,-2.14757,-0.44619,0.814931,0.26,-2.9913,-1.84078,-0.45434,0.874415,0.26,-2.9729,-1.68738,-0.46308,0.945796,0.26,-2.956,-1.38058,-0.47254,1.04097,0.26
-3.0879,-2.60777,-0.42638,0.565098,-3.0618,-2.60777,-0.43203,0.684066,0.26,-3.0357,-2.30097,-0.43887,0.731653,0.26,-3.0127,-2.14757,-0.44619,0.814931,0.26,-2.9913,-1.84078,-0.45434,0.874415,0.26,-2.9729,-1.68738,-0.46308,0.945796,0.26
-3.1186,-3.06796,-0.42108,0.529408,-3.0879,-2.60777,-0.42638,0.565098,0.26,-3.0618,-2.60777,-0.43203,0.684066,0.26,-3.0357,-2.30097,-0.43887,0.731653,0.26,-3.0127,-2.14757,-0.44619,0.814931,0.26,-2.9913,-1.84078,-0.45434,0.874415,0.26
3.1339,-3.06796,-0.41644,0.463975,-3.1186,-3.06796,-0.42108,0.529408,0.26,-3.0879,-2.60777,-0.42638,0.565098,0.26,-3.0618,-2.60777,-0.43203,0.684066,0.26,-3.0357,-2.30097,-0.43887,0.731653,0.26,-3.0127,-2.14757,-0.44619,0.814931,0.26
3.1017,-3.22136,-0.41252,0.392594,3.1339,-3.06796,-0.41644,0.463975,0.26,-3.1186,-3.06796,-0.42108,0.529408,0.26,-3.0879,-2.60777,-0.42638,0.565098,0.26,-3.0618,-2.60777,-0.43203,0.684066,0.26,-3.0357,-2.30097,-0.43887,0.731653,0.26
3.0649,-3.68155,-0.40907,0.345007,3.1017,-3.22136,-0.41252,0.392594,0.26,3.1339,-3.06796,-0.41644,0.463975,0.26,-3.1186,-3.06796,-0.42108,0.529408,0.26,-3.0879,-2.60777,-0.42638,0.565098,0.26,-3.0618,-2.60777,-0.43203,0.684066,0.26
3.0311,-3.37476,-0.40645,0.26173,3.0649,-3.68155,-0.40907,0.345007,0.26,3.1017,-3.22136,-0.41252,0.392594,0.26,3.1339,-3.06796,-0.41644,0.463975,0.26,-3.1186,-3.06796,-0.42108,0.529408,0.26,-3.0879,-2.60777,-0.42638,0.565098,0.26
2.9913,-3.98835,-0.40413,0.231988,3.0311,-3.37476,-0.40645,0.26173,0.26,3.0649,-3.68155,-0.40907,0.345007,0.26,3.1017,-3.22136,-0.41252,0.392594,0.26,3.1339,-3.06796,-0.41644,0.463975,0.26,-3.1186,-3.06796,-0.42108,0.529408,0.26
2.956,-3.52816,-0.40258,0.154658,2.9913,-3.98835,-0.40413,0.231988,0.26,3.0311,-3.37476,-0.40645,0.26173,0.26,3.0649,-3.68155,-0.40907,0.345007,0.26,3.1017,-3.22136,-0.41252,0.392594,0.26,3.1339,-3.06796,-0.41644,0.463975,0.26
